department,semester,code,subject,type,expected_lesson_file
Architecture,Semester 2,2181,Basic Architectural Drawing,Drawing,lessons/lessons-2181.html
Architecture,Semester 2,2182,Fundamentals of Architecture,Theory,lessons/lessons-2182.html
Architecture,Semester 3,3013,Building Construction and Construction Materials,Theory,lessons/lessons-3013.html
Architecture,Semester 3,3014,Theory of Structures,Theory,lessons/lessons-3014.html
Architecture,Semester 3,3181,History of Human settlement,Theory,lessons/lessons-3181.html
Architecture,Semester 3,3182,Climate Responsive Architecture,Theory,lessons/lessons-3182.html
Architecture,Semester 3,3183,Architectural Drawing I,Drawing,lessons/lessons-3183.html
Architecture,Semester 3,3184,Working Drawing I,Drawing,lessons/lessons-3184.html
Architecture,Semester 4,4181,History of Architecture,Theory,lessons/lessons-4181.html
Architecture,Semester 4,4182,Surveying for Architecture,Theory,lessons/lessons-4182.html
Architecture,Semester 4,4183,Building Services,Theory,lessons/lessons-4183.html
Architecture,Semester 4,4184,Architectural Appreciation,Theory,lessons/lessons-4184.html
Architecture,Semester 4,4185,Architecture Drawing II,Drawing,lessons/lessons-4185.html
Architecture,Semester 4,4189,Working Drawing II (CAD),Drawing,lessons/lessons-4189.html
Architecture,Semester 5,5011,Construction Management and Safety Engineering,Theory,lessons/lessons-5011.html
Architecture,Semester 5,5012,Design of Steel and RCC Structures,Theory,lessons/lessons-5012.html
Architecture,Semester 5,5181,Town Planning,Theory,lessons/lessons-5181.html
Architecture,Semester 5,5182A,Vernacular Architecture,Theory,lessons/lessons-5182A.html
Architecture,Semester 5,5182B,Green Building and Energy Conservation,Theory,lessons/lessons-5182B.html
Architecture,Semester 5,5182C,Applied Ergonomics,Theory,lessons/lessons-5182C.html
Architecture,Semester 5,5187,Architectural Drawing III,Drawing,lessons/lessons-5187.html
Architecture,Semester 5,5188,Working Drawing III (CAD),Drawing,lessons/lessons-5188.html
Architecture,Semester 5,5189,Landscape Architecture,Theory,lessons/lessons-5189.html
Architecture,Semester 6,6181A,Disaster Resilient buildings,Theory,lessons/lessons-6181A.html
Architecture,Semester 6,6181B,Tendering and Valuation,Theory,lessons/lessons-6181B.html
Architecture,Semester 6,6181C,Repairs and Maintenance of Structures,Theory,lessons/lessons-6181C.html
Architecture,Semester 6,6182A,Interior Space planning,Theory,lessons/lessons-6182A.html
Architecture,Semester 6,6182B,Fundamentals of Landscape Design,Theory,lessons/lessons-6182B.html
Architecture,Semester 6,6182C,Traditional Architecture of Kerala,Theory,lessons/lessons-6182C.html
Architecture,Semester 6,6182D,Fundamentals of Design,Theory,lessons/lessons-6182D.html
Architecture,Semester 6,6187,Interior Design,Theory,lessons/lessons-6187.html
Artificial Intelligence,Semester 2,2131,Problem Solving and Programming,Theory,lessons/lessons-2131.html
Artificial Intelligence,Semester 3,3341,Discrete Mathematics,Theory,lessons/lessons-3341.html
Artificial Intelligence,Semester 3,3343,Data Structures,Theory,lessons/lessons-3343.html
Artificial Intelligence,Semester 3,3381,Ethics in Artificial Intelligence,Theory,lessons/lessons-3381.html
Artificial Intelligence,Semester 3,3382,Introduction to Artificial Intelligence,Theory,lessons/lessons-3382.html
Artificial Intelligence,Semester 4,4341,Mathematics for ML,Theory,lessons/lessons-4341.html
Artificial Intelligence,Semester 4,4343,Object Oriented Programming Concepts using Java,Theory,lessons/lessons-4343.html
Artificial Intelligence,Semester 4,4381,Fundamentals of Machine Learning,Theory,lessons/lessons-4381.html
Artificial Intelligence,Semester 5,5133A,Virtualisation Technology and Cloud Computing,Theory,lessons/lessons-5133A.html
Artificial Intelligence,Semester 5,5342,Soft Computing,Theory,lessons/lessons-5342.html
Artificial Intelligence,Semester 5,5343A,Natural Language Processing,Theory,lessons/lessons-5343A.html
Artificial Intelligence,Semester 5,5343B,Fundamentals of Internet of Things,Theory,lessons/lessons-5343B.html
Artificial Intelligence,Semester 5,5381,Fundamentals of Virtual Reality and Augmented Reality,Theory,lessons/lessons-5381.html
Artificial Intelligence,Semester 6,6322B,Fundamentals of Python,Theory,lessons/lessons-6322B.html
Artificial Intelligence,Semester 6,6341A,Deep Learning,Theory,lessons/lessons-6341A.html
Artificial Intelligence,Semester 6,6341B,Robotic Process Automation,Theory,lessons/lessons-6341B.html
Artificial Intelligence,Semester 6,6341C,Computer Vision and Image Processing,Theory,lessons/lessons-6341C.html
Artificial Intelligence,Semester 6,6342A,Introduction to Artificial Intelligence and Machine Learning,Theory,lessons/lessons-6342A.html
Artificial Intelligence,Semester 6,6342B,Fundamentals of Soft Computing,Theory,lessons/lessons-6342B.html
Artificial Intelligence,Semester 6,6342C,Big Data Concepts,Theory,lessons/lessons-6342C.html
Artificial Intelligence & Machine Learning,Semester 2,2131,Problem Solving and Programming,Theory,lessons/lessons-2131.html
Artificial Intelligence & Machine Learning,Semester 3,3341,Discrete Mathematics,Theory,lessons/lessons-3341.html
Artificial Intelligence & Machine Learning,Semester 3,3342,Logic System Design & Computer Organization,Theory,lessons/lessons-3342.html
Artificial Intelligence & Machine Learning,Semester 3,3343,Data Structures,Theory,lessons/lessons-3343.html
Artificial Intelligence & Machine Learning,Semester 3,3344,Artificial Intelligence,Theory,lessons/lessons-3344.html
Artificial Intelligence & Machine Learning,Semester 4,4341,Mathematics for ML,Theory,lessons/lessons-4341.html
Artificial Intelligence & Machine Learning,Semester 4,4342,Machine Learning & Neural Networks,Theory,lessons/lessons-4342.html
Artificial Intelligence & Machine Learning,Semester 4,4343,Object Oriented Programming Concepts using Java,Theory,lessons/lessons-4343.html
Artificial Intelligence & Machine Learning,Semester 5,5133A,Virtualisation Technology and Cloud Computing,Theory,lessons/lessons-5133A.html
Artificial Intelligence & Machine Learning,Semester 5,5341,Big Data Analytics,Theory,lessons/lessons-5341.html
Artificial Intelligence & Machine Learning,Semester 5,5342,Soft Computing,Theory,lessons/lessons-5342.html
Artificial Intelligence & Machine Learning,Semester 5,5343A,Natural Language Processing,Theory,lessons/lessons-5343A.html
Artificial Intelligence & Machine Learning,Semester 5,5343B,Fundamentals of Internet of Things,Theory,lessons/lessons-5343B.html
Artificial Intelligence & Machine Learning,Semester 6,6322B,Fundamentals of Python,Theory,lessons/lessons-6322B.html
Artificial Intelligence & Machine Learning,Semester 6,6341A,Deep Learning,Theory,lessons/lessons-6341A.html
Artificial Intelligence & Machine Learning,Semester 6,6341B,Robotic Process Automation,Theory,lessons/lessons-6341B.html
Artificial Intelligence & Machine Learning,Semester 6,6341C,Computer Vision and Image Processing,Theory,lessons/lessons-6341C.html
Artificial Intelligence & Machine Learning,Semester 6,6342A,Introduction to Artificial Intelligence and Machine Learning,Theory,lessons/lessons-6342A.html
Artificial Intelligence & Machine Learning,Semester 6,6342B,Fundamentals of Soft Computing,Theory,lessons/lessons-6342B.html
Artificial Intelligence & Machine Learning,Semester 6,6342C,Big Data Concepts,Theory,lessons/lessons-6342C.html
Automation and Robotics,Semester 2,2371,Foundations of Robotics,Theory,lessons/lessons-2371.html
Automation and Robotics,Semester 3,3331,Analog and Digital Electronics,Theory,lessons/lessons-3331.html
Automation and Robotics,Semester 3,3332,Mechanics of Materials,Theory,lessons/lessons-3332.html
Automation and Robotics,Semester 3,3333,Python Programming,Theory,lessons/lessons-3333.html
